Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
6,10000,18000000,3600000,2300000,13000000,1300000,2690000,81600000,,,,
7,30000,18000000,25500000,6900000,39000000,3900000,1690000,244800000,,,,
8,6000,18000000,3840000,1380000,7800000,780000,1690000,30600000,,,,
9,10000,15000000,2400000,2300000,13000000,1300000,3150000,133650000,,,,
10,20000,18000000,12000000,4600000,26000000,2600000,5190000,267300000,,,,
11,20000,18000000,17000000,4600000,26000000,2600000,5600000,153000000,,,,
12,30000,18000000,5000000,6900000,39000000,3900000,2000000,230400000,,,,
13,7000,17500000,10000000,1610000,9100000,910000,2290000,94050000,,,,
14,3500,17850000,720000,805000,4550000,1050000,1240000,48150000,,,,
15,15000,12000000,6000000,3450000,19500000,1500000,1800000,118800000,,,,
16,10000,18000000,3000000,2300000,13000000,2500000,2700000,81600000,,,,
17,17000,255000000,7200000,3910000,22100000,2210000,5400000,153000000,,,,
18,2500,10000000,4000000,575000,3250000,325000,5250000,12800000,,,,
19,30000,99000000,8000000,6900000,39000000,4800000,1800000,208000000,,,,
20,6000,18000000,3000000,1380000,7800000,1500000,1390000,28200000,,,,
21,20000,10000000,5000000,4600000,26000000,2600000,3190000,148500000,,,,
22,10000,15000000,3000000,2300000,13000000,1500000,3190000,82400000,,,,
23,10000,10000000,3000000,2300000,13000000,1200000,1190000,81600000,,,,
24,10000,15000000,6000000,2300000,13000000,1200000,2690000,81600000,,,,
25,20000,12000000,7500000,4600000,26000000,2600000,5400000,153000000,,,,
26,8000,12000000,3500000,1840000,10400000,1200000,1390000,60600000,,,,
27,8000,14400000,3000000,1840000,10400000,1440000,1450000,50500000,,,,
28,10000,18000000,3800000,2300000,13000000,1200000,2690000,80800000,,,,
29,30000,15000000,16000000,6900000,39000000,3900000,2000000,237600000,,,,
30,20000,15000000,4300000,4600000,26000000,4000000,2800000,122400000,,,,
31,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
32,10000,12000000,2400000,2300000,13000000,1300000,1190000,79200000,,,,
33,20000,12000000,4300000,4600000,26000000,4000000,2500000,138600000,,,,
34,16000,9600000,4200000,3680000,20800000,4000000,2590000,112800000,,,,
35,15000,12000000,3500000,3450000,19500000,3750000,1690000,99000000,,,,
36,10000,12000000,2400000,2300000,13000000,1300000,1300000,69300000,,,,
37,16000,12000000,4700000,3680000,20800000,2560000,1790000,117002000,,,,
38,10000,12000000,2500000,2300000,13000000,1300000,1190000,80800000,,,,
39,5000,12000000,1400000,1150000,6500000,650000,690000,66150000,,,,
40,15000,12000000,3500000,3450000,19500000,3750000,1690000,99000000,,,,
41,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
42,7000,14700000,2000000,1610000,9100000,910000,1350000,39600000,,,,
43,11500,11500000,2700000,2645000,14950000,3450000,2490000,67200000,,,,
44,19000,11400000,4500000,4370000,24700000,3800000,2200000,252900000,,,,
45,20000,12000000,4400000,4800000,26000000,2600000,1190000,196000000,,,,
46,28000,117600000,32000000,6440000,36400000,5040000,4950000,155200000,,,,
47,10000,12000000,2200000,2300000,13000000,3000000,1190000,48000000,,,,
48,10000,12000000,2400000,2300000,13000000,1300000,1300000,62400000,,,,
